source_system,source_table,silver_entity,group,lld_file
NHNCK,Applications,Securities Practitioner License Application,T3,attr_NHNCK_Applications.csv
NHNCK,ApplicationSpecializations,Securities Practitioner License Application Education Certificate Document,T4,attr_NHNCK_ApplicationSpecializations.csv
NHNCK,ApplicationDocuments,Securities Practitioner License Application Document Attachment,T4,attr_NHNCK_ApplicationDocuments.csv
NHNCK,ActionLogs,Securities Practitioner License Application Processing Activity Log,T4,attr_NHNCK_ActionLogs.csv
NHNCK,ApplicationFees,Securities Practitioner License Application Fee,T4,attr_NHNCK_ApplicationFees.csv
NHNCK,VerifyApplicationStatuses,Securities Practitioner License Application Verification Status,T4,attr_NHNCK_VerifyApplicationStatuses.csv
NHNCK,Professionals,Securities Practitioner,T2,attr_NHNCK_Professionals.csv
NHNCK,Professionals,Involved Party Postal Address,T2,attr_NHNCK_Professionals_IP_Postal_Address.csv
NHNCK,Professionals,Involved Party Electronic Address,T2,attr_NHNCK_Professionals_IP_Electronic_Address.csv
NHNCK,Professionals,Involved Party Alternative Identification,T2,attr_NHNCK_Professionals_IP_Alt_Identification.csv
NHNCK,CertificateRecords,Securities Practitioner License Certificate Document,T3,attr_NHNCK_CertificateRecords.csv
NHNCK,CertificateRecordGroups,Securities Practitioner License Certificate Group Document,T2,attr_NHNCK_CertificateRecordGroups.csv
NHNCK,CertificateRecordGroupMembers,Securities Practitioner License Certificate Group Member,T3,attr_NHNCK_CertificateRecordGroupMembers.csv
NHNCK,CertificateRecordStatusHistories,Securities Practitioner License Certificate Document Status History,T4,attr_NHNCK_CertificateRecordStatusHistories.csv
NHNCK,CertificateRecordLogs,Securities Practitioner License Certificate Document Activity Log,T4,attr_NHNCK_CertificateRecordLogs.csv
NHNCK,ProfessionalRelationships,Securities Practitioner Related Party,T3,attr_NHNCK_ProfessionalRelationships.csv
NHNCK,Violations,Securities Practitioner Conduct Violation,T3,attr_NHNCK_Violations.csv
NHNCK,OrganizationReports,Securities Practitioner Organization Employment Report,T3,attr_NHNCK_OrganizationReports.csv
NHNCK,IdentityInfoC06s,Securities Practitioner Identity Verification Record,T3,attr_NHNCK_IdentityInfoC06s.csv
NHNCK,SpecializationCourses,Securities Practitioner Professional Training Class,T2,attr_NHNCK_SpecializationCourses.csv
NHNCK,SpecializationCourseDetails,Securities Practitioner Professional Training Class Enrollment,T3,attr_NHNCK_SpecializationCourseDetails.csv
NHNCK,ExamSessions,Securities Practitioner Qualification Examination Assessment,T2,attr_NHNCK_ExamSessions.csv
NHNCK,ExamDetails,Securities Practitioner Qualification Examination Assessment Result,T3,attr_NHNCK_ExamDetails.csv
NHNCK,ExamSessionFees,Securities Practitioner Qualification Examination Assessment Fee,T3,attr_NHNCK_ExamSessionFees.csv
NHNCK,Organizations,Securities Organization Reference,T1,attr_NHNCK_Organizations.csv
NHNCK,Decisions,Securities Practitioner License Decision Document,T1,attr_NHNCK_Decisions.csv
NHNCK,Units,Regulatory Authority Organization Unit,T1,attr_NHNCK_Units.csv
NHNCK,Departments,Regulatory Authority Organization Unit,T1,attr_NHNCK_Departments.csv
NHNCK,Organizations,Involved Party Postal Address,T1,attr_NHNCK_Organizations_IP_Postal_Address.csv
NHNCK,Organizations,Involved Party Electronic Address,T1,attr_NHNCK_Organizations_IP_Electronic_Address.csv
NHNCK,Organizations,Involved Party Alternative Identification,T1,attr_NHNCK_Organizations_IP_Alt_Identification.csv
DCST,THONG_TIN_DK_THUE,Registered Taxpayer,T1,attr_DCST_THONG_TIN_DK_THUE.csv
DCST,TTKDT_NGUOI_DAI_DIEN,Taxpayer Representative,T1,attr_DCST_TTKDT_NGUOI_DAI_DIEN.csv
DCST,DN_RUI_RO_CAO,High Risk Taxpayer Assessment Snapshot,T1,attr_DCST_DN_RUI_RO_CAO.csv
DCST,THONG_TIN_DK_THUE,Involved Party Postal Address,T1,attr_DCST_THONG_TIN_DK_THUE_IP_Postal_Address.csv
DCST,THONG_TIN_DK_THUE,Involved Party Electronic Address,T1,attr_DCST_THONG_TIN_DK_THUE_IP_Electronic_Address.csv
DCST,THONG_TIN_DK_THUE,Involved Party Alternative Identification,T1,attr_DCST_THONG_TIN_DK_THUE_IP_Alt_Identification.csv
DCST,TTKDT_NGUOI_DAI_DIEN,Involved Party Electronic Address,T1,attr_DCST_TTKDT_NGUOI_DAI_DIEN_IP_Electronic_Address.csv
DCST,TTKDT_NGUOI_DAI_DIEN,Involved Party Alternative Identification,T1,attr_DCST_TTKDT_NGUOI_DAI_DIEN_IP_Alt_Identification.csv
DCST,TCT_BAO_CAO,Tax Financial Statement,T2,attr_DCST_TCT_BAO_CAO.csv
DCST,TCT_BAO_CAO_CHI_TIET,Tax Financial Statement Item,T3,attr_DCST_TCT_BAO_CAO_CHI_TIET.csv
DCST,TCT_TT_CUONG_CHE_NO,Tax Debt Enforcement Order,T2,attr_DCST_TCT_TT_CUONG_CHE_NO.csv
DCST,TT_XLY_VI_PHAM,Tax Violation Penalty Decision,T2,attr_DCST_TT_XLY_VI_PHAM.csv
DCST,TCT_TTCCN_HOA_DON,Tax Invoice Enforcement Order,T2,attr_DCST_TCT_TTCCN_HOA_DON.csv
DCST,HOA_DON_CHI_TIET,Tax Invoice Enforcement Order Item,T3,attr_DCST_HOA_DON_CHI_TIET.csv
FMS,SECURITIES,Fund Management Company,T1,attr_FMS_SECURITIES.csv
FMS,SECURITIES,Involved Party Postal Address,T1,attr_FMS_SECURITIES_IP_Postal_Address.csv
FMS,SECURITIES,Involved Party Electronic Address,T1,attr_FMS_SECURITIES_IP_Electronic_Address.csv
FMS,SECURITIES,Involved Party Alternative Identification,T1,attr_FMS_SECURITIES_IP_Alt_Identification.csv
FMS,FORBRCH,Foreign Fund Management Organization Unit,T1,attr_FMS_FORBRCH.csv
FMS,FORBRCH,Involved Party Postal Address,T1,attr_FMS_FORBRCH_IP_Postal_Address.csv
FMS,FORBRCH,Involved Party Electronic Address,T1,attr_FMS_FORBRCH_IP_Electronic_Address.csv
FMS,FORBRCH,Involved Party Alternative Identification,T1,attr_FMS_FORBRCH_IP_Alt_Identification.csv
FMS,BANKMONI,Custodian Bank,T1,attr_FMS_BANKMONI.csv
FMS,BANKMONI,Involved Party Postal Address,T1,attr_FMS_BANKMONI_IP_Postal_Address.csv
FMS,BANKMONI,Involved Party Electronic Address,T1,attr_FMS_BANKMONI_IP_Electronic_Address.csv
FMS,AGENCIES,Fund Distribution Agent,T1,attr_FMS_AGENCIES.csv
FMS,AGENCIES,Involved Party Postal Address,T1,attr_FMS_AGENCIES_IP_Postal_Address.csv
FMS,INVES,Discretionary Investment Investor,T1,attr_FMS_INVES.csv
FMS,INVES,Involved Party Alternative Identification,T1,attr_FMS_INVES_IP_Alt_Identification.csv
FMS,RPTPERIOD,Reporting Period,T1,attr_FMS_RPTPERIOD.csv
FMS,RATINGPD,Member Rating Period,T1,attr_FMS_RATINGPD.csv
FMS,FUNDS,Investment Fund,T2,attr_FMS_FUNDS.csv
FMS,FUNDS,Involved Party Alternative Identification,T2,attr_FMS_FUNDS_IP_Alt_Identification.csv
FMS,TLProfiles,Fund Management Company Key Person,T2,attr_FMS_TLProfiles.csv
FMS,TLProfiles,Involved Party Alternative Identification,T2,attr_FMS_TLProfiles_IP_Alt_Identification.csv
FMS,BRANCHES,Fund Management Company Organization Unit,T2,attr_FMS_BRANCHES.csv
FMS,BRANCHES,Involved Party Postal Address,T2,attr_FMS_BRANCHES_IP_Postal_Address.csv
FMS,BRANCHES,Involved Party Electronic Address,T2,attr_FMS_BRANCHES_IP_Electronic_Address.csv
FMS,BRANCHES,Involved Party Alternative Identification,T2,attr_FMS_BRANCHES_IP_Alt_Identification.csv
FMS,AGENCIESBRA,Fund Distribution Agent Organization Unit,T2,attr_FMS_AGENCIESBRA.csv
FMS,AGENCIESBRA,Involved Party Postal Address,T2,attr_FMS_AGENCIESBRA_IP_Postal_Address.csv
FMS,INVESACC,Discretionary Investment Account,T2,attr_FMS_INVESACC.csv
FMS,RANK,Member Rating,T2,attr_FMS_RANK.csv
FMS,RNKFACTOR,Rating Criterion,T2,attr_FMS_RNKFACTOR.csv
FMS,MBFUND,Investment Fund Investor Membership,T3,attr_FMS_MBFUND.csv
FMS,REPRESENT,Investment Fund Representative Board Member,T3,attr_FMS_REPRESENT.csv
FMS,STFFGBRCH,Foreign Fund Management Organization Unit Staff,T3,attr_FMS_STFFGBRCH.csv
FMS,RPTMEMBER,Member Periodic Report,T3,attr_FMS_RPTMEMBER.csv
FMS,TRSFERINDER,Fund Management Company Share Transfer,T3,attr_FMS_TRSFERINDER.csv
FMS,VIOLT,Fund Management Conduct Violation,T3,attr_FMS_VIOLT.csv
FMS,TRANSFERMBF,Investment Fund Certificate Transfer,T4,attr_FMS_TRANSFERMBF.csv
FMS,MBCHANGE,Investment Fund Investor Capital Change Log,T4,attr_FMS_MBCHANGE.csv
FMS,RPTMBHS,Member Periodic Report Status Log,T4,attr_FMS_RPTMBHS.csv
FMS,RPTVALUES,Report Import Value,T4,attr_FMS_RPTVALUES.csv
FIMS,STOCKEXCHANGE,Stock Exchange,T1,attr_FIMS_STOCKEXCHANGE.csv
FIMS,DEPOSITORYCENTER,Depository Center,T1,attr_FIMS_DEPOSITORYCENTER.csv
FIMS,FUNDCOMPANY,Fund Management Company,T1,attr_FIMS_FUNDCOMPANY.csv
FIMS,SECURITIESCOMPANY,Securities Company,T1,attr_FIMS_SECURITIESCOMPANY.csv
FIMS,BANKMONI,Custodian Bank,T1,attr_FIMS_BANKMONI.csv
FIMS,BRANCHS,Fund Management Company Organization Unit,T1,attr_FIMS_BRANCHS.csv
FIMS,INFODISCREPRES,Disclosure Representative,T1,attr_FIMS_INFODISCREPRES.csv
FIMS,INVESTOR,Foreign Investor,T1,attr_FIMS_INVESTOR.csv
FIMS,TLPROFILES,Disclosure Representative Key Person,T1,attr_FIMS_TLPROFILES.csv
FIMS,RPTTEMP,Report Template,T1,attr_FIMS_RPTTEMP.csv
FIMS,NATIONAL,Geographic Area,T1,attr_FIMS_NATIONAL.csv
FIMS,RPTPERIOD,Reporting Period,T2,attr_FIMS_RPTPERIOD.csv
FIMS,RPTMEMBER,Member Regulatory Report,T2,attr_FIMS_RPTMEMBER.csv
FIMS,VIOLT,Member Conduct Violation,T2,attr_FIMS_VIOLT.csv
FIMS,AUTHOANNOUNCE,Disclosure Authorization,T2,attr_FIMS_AUTHOANNOUNCE.csv
FIMS,ANNOUNCE,Disclosure Announcement,T2,attr_FIMS_ANNOUNCE.csv
FIMS,SECURITIESACCOUNT,Foreign Investor Securities Account,T3,attr_FIMS_SECURITIESACCOUNT.csv
FIMS,CATEGORIESSTOCK,Foreign Investor Stock Portfolio Snapshot,T3,attr_FIMS_CATEGORIESSTOCK.csv
FIMS,RPTVALUES,Member Report Value,T3,attr_FIMS_RPTVALUES.csv
SCMS,CTCK_THONG_TIN,Securities Company,T1,attr_SCMS_CTCK_THONG_TIN.csv
SCMS,CT_KIEM_TOAN,Audit Firm,T1,attr_SCMS_CT_KIEM_TOAN.csv
SCMS,CT_KIEM_TOAN,Involved Party Alternative Identification,T1,attr_SCMS_CT_KIEM_TOAN_IP_Alt_Identification.csv
SCMS,CTCK_VP_DAI_DIEN_NN,Foreign Representative Office,T1,attr_SCMS_CTCK_VP_DAI_DIEN_NN.csv
SCMS,DM_TINH_THANH,Geographic Area,T1,attr_SCMS_DM_TINH_THANH.csv
SCMS,DM_QUOC_TICH,Geographic Area,T1,attr_SCMS_DM_QUOC_TICH.csv
SCMS,BM_BAO_CAO,Report Template,T1,attr_SCMS_BM_BAO_CAO.csv
SCMS,CTCK_THONG_TIN,Involved Party Postal Address,T1,attr_SCMS_CTCK_THONG_TIN_IP_Postal_Address.csv
SCMS,CTCK_THONG_TIN,Involved Party Electronic Address,T1,attr_SCMS_CTCK_THONG_TIN_IP_Electronic_Address.csv
SCMS,CTCK_CHI_NHANH,Securities Company Organization Unit,T2,attr_SCMS_CTCK_CHI_NHANH.csv
SCMS,CTCK_CHI_NHANH,Involved Party Postal Address,T2,attr_SCMS_CTCK_CHI_NHANH_IP_Postal_Address.csv
SCMS,CTCK_CHI_NHANH,Involved Party Electronic Address,T2,attr_SCMS_CTCK_CHI_NHANH_IP_Electronic_Address.csv
SCMS,CTCK_VP_DAI_DIEN,Securities Company Organization Unit,T2,attr_SCMS_CTCK_VP_DAI_DIEN.csv
SCMS,CTCK_PHONG_GIAO_DICH,Securities Company Organization Unit,T2,attr_SCMS_CTCK_PHONG_GIAO_DICH.csv
SCMS,CTCK_NGUOI_HANH_NGHE_CK,Securities Practitioner,T2,attr_SCMS_CTCK_NGUOI_HANH_NGHE_CK.csv
SCMS,CTCK_NHAN_SU_CAO_CAP,Securities Company Senior Personnel,T2,attr_SCMS_CTCK_NHAN_SU_CAO_CAP.csv
SCMS,CTCK_NHAN_SU_CAO_CAP,Involved Party Postal Address,T2,attr_SCMS_CTCK_NHAN_SU_CAO_CAP_IP_Postal_Address.csv
SCMS,CTCK_NHAN_SU_CAO_CAP,Involved Party Electronic Address,T2,attr_SCMS_CTCK_NHAN_SU_CAO_CAP_IP_Electronic_Address.csv
SCMS,CTCK_CO_DONG,Securities Company Shareholder,T2,attr_SCMS_CTCK_CO_DONG.csv
SCMS,CTCK_CO_DONG,Involved Party Postal Address,T2,attr_SCMS_CTCK_CO_DONG_IP_Postal_Address.csv
SCMS,CT_KIEM_TOAN_VIEN,Audit Firm Practitioner,T2,attr_SCMS_CT_KIEM_TOAN_VIEN.csv
SCMS,CT_KIEM_TOAN_VIEN,Involved Party Alternative Identification,T2,attr_SCMS_CT_KIEM_TOAN_VIEN_IP_Alt_Identification.csv
SCMS,BM_SHEET,Report Template Sheet,pending,attr_SCMS_BM_SHEET.csv
SCMS,BM_BAO_CAO_HANG,Report Template Row,pending,attr_SCMS_BM_BAO_CAO_HANG.csv
SCMS,BM_BAO_CAO_COT,Report Template Column,pending,attr_SCMS_BM_BAO_CAO_COT.csv
SCMS,BM_BAO_CAO_DINH_KY,Report Submission Schedule,T2,attr_SCMS_BM_BAO_CAO_DINH_KY.csv
SCMS,DM_CHI_TIEU,Report Indicator,pending,attr_SCMS_DM_CHI_TIEU.csv
SCMS,BM_BAO_CAO_CT,Report Template Indicator,pending,attr_SCMS_BM_BAO_CAO_CT.csv
SCMS,BM_BAO_CAO_DINH_KY_DON_VI,Report Submission Obligation,T3,attr_SCMS_BM_BAO_CAO_DINH_KY_DON_VI.csv
SCMS,BC_THANH_VIEN,Member Periodic Report,T3,attr_SCMS_BC_THANH_VIEN.csv
SCMS,BC_VI_PHAM,Securities Company Report Violation,T3,attr_SCMS_BC_VI_PHAM.csv
SCMS,CTCK_XU_LY_HANH_CHINH,Securities Company Administrative Penalty,T3,attr_SCMS_CTCK_XU_LY_HANH_CHINH.csv
SCMS,CBTT_BAO_CAO,Disclosure Report Submission,T3,attr_SCMS_CBTT_BAO_CAO.csv
SCMS,CBTT_CHAO_BAN_CHUNG_KHOAN,Disclosure Securities Offering,T3,attr_SCMS_CBTT_CHAO_BAN_CHUNG_KHOAN.csv
SCMS,CBTT_CO_DONG,Disclosure Shareholder Change,T3,attr_SCMS_CBTT_CO_DONG.csv
SCMS,BC_BAO_CAO_GT,Member Report Indicator Value,T4,attr_SCMS_BC_BAO_CAO_GT.csv
SCMS,CTCK_CD_CHUYEN_NHUONG,Securities Company Shareholder Transfer,T4,attr_SCMS_CTCK_CD_CHUYEN_NHUONG.csv
SCMS,CTCK_CD_DAI_DIEN,Securities Company Shareholder Representative,T4,attr_SCMS_CTCK_CD_DAI_DIEN.csv
SCMS,CTCK_CD_MOI_QUAN_HE,Securities Company Shareholder Related Party,T4,attr_SCMS_CTCK_CD_MOI_QUAN_HE.csv
